Fecha,Emisora,Serie,Precio
20170126,ACTIMED,F-1,4.452585
20170126,ACTIMED,F-2,4.633837
20170126,ACTIMED,F-3,4.676759
20170126,ACTIMED,FF,4.784016
20170126,ACTIMED,M-1,4.286722
20170126,ACTIMED,M-2,4.506983
20170126,ACTIMED,M-3,4.564561
20170126,ACTIREN,A,9.148241
20170126,ACTIREN,B-1,7.222931
20170126,ACTIREN,B-2,7.515767
20170126,ACTIREN,B-3,7.714803
20170126,ACTIREN,E,8.402886
20170126,ACTIREN,F-1,7.780169
20170126,ACTIREN,F-2,7.857502
20170126,ACTIREN,F-3,8.041111
20170126,ACTIREN,FF,9.212189
20170126,ACTIREN,M-1,7.829451
20170126,ACTIREN,M-2,7.885685
20170126,ACTIREN,M-3,7.934043
20170126,ALTERNA,A,4.019494
20170126,ALTERNA,B-1,3.107244
20170126,ALTERNA,B-2,3.366189
20170126,ALTERNA,B-3,3.602572
20170126,ALTERNA,D,3.630493
20170126,ALTERNA,E,3.674761
20170126,ALTERNA,F-1,3.625462
20170126,ALTERNA,FF,4.034336
20170126,ALTERNA,M-1,3.294118
20170126,ALTERNA,M-2,3.470742
20170126,ALTERNA,M-3,3.64975
20170131,ACTICOB,A,28.046239
20170131,ACTICOB,B-1,25.939461
20170131,ACTICOB,B-2,26.529264
20170131,ACTICOB,B-3,27.174834
20170131,ACTICOB,E,28.402557
20170131,ACTICOB,F-1,27.198429
20170131,ACTICOB,F-2,27.47433
20170131,ACTICOB,F-3,27.715394
20170131,ACTICOB,FF,28.064803
20170131,ACTICOB,M-1,26.458968
20170131,ACTICOB,M-2,26.915181
20170131,ACTICOB,M-3,27.237962
20170131,ACTIGOB,A,4.591669
20170131,ACTIGOB,B-1,3.819079
20170131,ACTIGOB,B-2,4.004368
20170131,ACTIGOB,B-3,4.100862
20170131,ACTIGOB,E,4.623173
20170131,ACTIGOB,F-1,4.210314
20170131,ACTIGOB,FF,4.591665
20170131,ACTIGOB,GE,4.750596
20170131,ACTIGOB,M-1,4.213044
20170131,ACTIGOB,M-2,4.273923
20170131,ACTIGOB,M-3,4.33572
20170131,ACTIMED,A,4.790303
20170131,ACTIMED,B-1,4.110185
20170131,ACTIMED,B-2,4.444669
20170131,ACTIMED,B-3,4.559636
20170131,ACTIMED,D,4.544842
20170131,ACTIMED,E,4.796568
20170131,ACTIMED,F-1,4.455285
20170131,ACTIMED,F-2,4.637058
20170131,ACTIMED,F-3,4.680085
20170131,ACTIMED,FF,4.788085
20170131,ACTIMED,M-1,4.289158
20170131,ACTIMED,M-2,4.509957
20170131,ACTIMED,M-3,4.56765
20170131,ACTIREN,A,9.155434
20170131,ACTIREN,B-1,7.225263
20170131,ACTIREN,B-2,7.518278
20170131,ACTIREN,B-3,7.717458
20170131,ACTIREN,E,8.406327
20170131,ACTIREN,F-1,7.783206
20170131,ACTIREN,F-2,7.860633
20170131,ACTIREN,F-3,8.044382
20170131,ACTIREN,FF,9.219437
20170131,ACTIREN,M-1,7.832093
20170131,ACTIREN,M-2,7.888476
20170131,ACTIREN,M-3,7.936918
20170131,ALTERNA,A,4.021632
20170131,ALTERNA,B-1,3.107794
20170131,ALTERNA,B-2,3.367077
20170131,ALTERNA,B-3,3.603829
20170131,ALTERNA,D,3.631819
20170131,ALTERNA,E,3.676101
20170131,ALTERNA,F-1,3.626366
20170131,ALTERNA,FF,4.036483
20170131,ALTERNA,M-1,3.294771
20170131,ALTERNA,M-2,3.471721
20170131,ALTERNA,M-3,3.651085
20170131,ACTI500,A,4.668568
20170131,ACTI500,B1,3.52857
20170131,ACTI500,B2,3.824368
20170131,ACTI500,B3,3.964736
20170131,ACTI500,D,4.491425
20170131,ACTINEM,A,202.326176
20170131,ACTINEM,B,179.525705
20170131,ACTINEM,FF,202.326151
20170131,ACTINMO,A,41.361146
20170131,ACTINMO,B,36.640512
20170131,ACTINMO,D,36.890842
20170131,ACTINMO,FF,41.36114
20170131,ACTINMO,I,40.937836
20170131,ACTIUS,A,3.200861
20170131,ACTIUS,B,2.82278
20170131,ACTIVAR,A,96.087579
20170131,ACTIVAR,B,84.736786
20170201,ACTI500,A,4.677253
20170201,ACTI500,B1,3.534853
20170201,ACTI500,B2,3.831256
20170201,ACTI500,B3,3.971922
20170201,ACTI500,D,4.49954
20170201,ACTINEM,A,201.742846
20170201,ACTINEM,B,178.993878
20170201,ACTINEM,FF,201.742822
20170201,ACTINMO,A,41.518248
20170201,ACTINMO,B,36.776586
20170201,ACTINMO,D,37.028022
20170201,ACTINMO,FF,41.518242
20170201,ACTINMO,I,41.092677
20170201,ACTIUS,A,3.20965
20170201,ACTIUS,B,2.830396
20170201,ACTIVAR,A,95.902609
20170201,ACTIVAR,B,84.569629
20170201,MAYA,A,40.424845
20170201,MAYA,B1,31.221538
20170201,MAYA,B2,32.650697
20170201,MAYA,B3,34.147461
20170201,MAYA,D,33.449743
20170201,MAYA,FF,40.424833
20170209,ACTICOB,A,27.65831
20170209,ACTICOB,B-1,25.573714
20170209,ACTICOB,B-2,26.156061
20170209,ACTICOB,B-3,26.793436
