id,ID_CLIENTE,NIVEL,MEJOR_RENDIMIENTO
508,90026535,NIVEL 2,No
509,90026535,NIVEL 3,No
510,90026782,NIVEL 1,No
511,90026782,NIVEL 2,No
512,90026782,NIVEL 3,No
513,90026998,NIVEL 1,No
514,90026998,NIVEL 2,No
515,90026998,NIVEL 3,No
516,90027228,NIVEL 1,Yes
517,90027228,NIVEL 2,Yes
518,90027228,NIVEL 3,Yes
519,90027236,NIVEL 1,No
520,90027236,NIVEL 2,No
521,90027236,NIVEL 3,Yes
522,90027459,NIVEL 1,Yes
523,90027459,NIVEL 2,Yes
524,90027459,NIVEL 3,Yes
525,90027657,NIVEL 1,No
526,90027657,NIVEL 2,No
527,90027657,NIVEL 3,No
528,90027731,NIVEL 1,No
529,90027731,NIVEL 2,No
530,90027731,NIVEL 3,No
531,90027905,NIVEL 1,Yes
532,90027905,NIVEL 2,Yes
533,90027905,NIVEL 3,Yes
534,90027988,NIVEL 1,No
535,90027988,NIVEL 2,No
536,90027988,NIVEL 3,No
537,90028333,NIVEL 1,No
538,90028333,NIVEL 2,No
539,90028333,NIVEL 3,No
540,90028515,NIVEL 1,No
541,90028515,NIVEL 2,No
542,90028515,NIVEL 3,No
543,90028598,NIVEL 1,Yes
544,90028598,NIVEL 2,Yes
545,90028598,NIVEL 3,Yes
546,90028655,NIVEL 1,Yes
547,90028655,NIVEL 2,Yes
548,90028655,NIVEL 3,Yes
549,90028671,NIVEL 1,Yes
550,90028671,NIVEL 2,Yes
551,90028671,NIVEL 3,Yes
552,90028697,NIVEL 1,Yes
553,90028697,NIVEL 2,Yes
554,90028697,NIVEL 3,Yes
555,90028705,NIVEL 1,No
556,90028705,NIVEL 2,No
557,90028705,NIVEL 3,No
558,90028804,NIVEL 1,Yes
559,90028804,NIVEL 2,Yes
560,90028804,NIVEL 3,Yes
561,90028937,NIVEL 1,No
562,90028937,NIVEL 2,No
563,90028937,NIVEL 3,No
564,90029018,NIVEL 1,No
565,90029018,NIVEL 2,Yes
566,90029018,NIVEL 3,Yes
567,90029042,NIVEL 1,Yes
568,90029042,NIVEL 2,Yes
569,90029042,NIVEL 3,Yes
570,90029083,NIVEL 1,Yes
571,90029083,NIVEL 2,Yes
572,90029083,NIVEL 3,Yes
573,90029166,NIVEL 1,Yes
574,90029166,NIVEL 2,Yes
575,90029166,NIVEL 3,Yes
576,90029299,NIVEL 1,Yes
577,90029299,NIVEL 2,Yes
578,90029299,NIVEL 3,Yes
579,90029349,NIVEL 1,No
580,90029349,NIVEL 2,No
581,90029349,NIVEL 3,No
582,90029372,NIVEL 1,Yes
583,90029372,NIVEL 2,Yes
584,90029372,NIVEL 3,Yes
585,90029489,NIVEL 1,Yes
586,90029489,NIVEL 2,Yes
587,90029489,NIVEL 3,Yes
588,90029521,NIVEL 1,Yes
589,90029521,NIVEL 2,Yes
590,90029521,NIVEL 3,Yes
591,90029539,NIVEL 1,No
592,90029539,NIVEL 2,No
593,90029539,NIVEL 3,Yes
594,90029596,NIVEL 1,Yes
595,90029596,NIVEL 2,Yes
596,90029596,NIVEL 3,Yes
597,90029687,NIVEL 1,Yes
598,90029687,NIVEL 2,Yes
599,90029687,NIVEL 3,Yes
600,90029729,NIVEL 1,Yes
601,90029729,NIVEL 2,Yes
602,90029729,NIVEL 3,Yes
603,90029844,NIVEL 1,No
604,90029844,NIVEL 2,No
605,90029844,NIVEL 3,No
606,90029901,NIVEL 1,No
607,90029901,NIVEL 2,No
608,90029901,NIVEL 3,No
609,90029968,NIVEL 1,No
610,90029968,NIVEL 2,No
611,90029968,NIVEL 3,No
612,90030040,NIVEL 1,No
613,90030040,NIVEL 2,No
614,90030040,NIVEL 3,No
615,90030115,NIVEL 1,Yes
616,90030115,NIVEL 2,Yes
617,90030115,NIVEL 3,Yes
618,90030248,NIVEL 1,No
619,90030248,NIVEL 2,No
620,90030248,NIVEL 3,No
621,90030487,NIVEL 1,No
622,90030487,NIVEL 2,No
623,90030487,NIVEL 3,No
624,90030834,NIVEL 1,No
625,90030834,NIVEL 2,No
626,90030834,NIVEL 3,No
627,90030974,NIVEL 1,Yes
